"juror_id","trial__id","struck_by","race","defendant_race","accused","fam_accused","know_def","fam_law_enforcement","death_hesitation","strike_eligibility","know_vic","know_wit","fam_crime_victim","crime_victim","prior_info","gender","same_race","struck_state_bin","struck_state","is_black"
3600,72,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
3601,72,"Struck by the state","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,1,"state",FALSE
3602,72,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
3604,73,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3603,73,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
5170,101,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,TRUE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3607,73,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
395,8,"Struck by the state","White","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,TRUE,FALSE,FALSE,"Male",FALSE,1,"state",FALSE
398,8,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
399,8,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,TRUE,FALSE,FALSE,"Both State and Defense",TRUE,FALSE,FALSE,FALSE,TRUE,"Female",FALSE,0,"not_state",FALSE
402,8,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
403,8,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
404,8,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,TRUE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
406,8,"Struck by the state","White","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,1,"state",FALSE
407,8,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",TRUE,1,"state",TRUE
408,8,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",FALSE,0,"not_state",FALSE
5174,101,"Struck by the state","Black","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,1,"state",TRUE
409,8,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,TRUE,"Male",FALSE,0,"not_state",FALSE
412,8,"Struck by the state","Black","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,1,"state",TRUE
3190,64,"Juror chosen to serve on jury","Black","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",TRUE
3191,64,"Juror chosen to serve on jury","Black","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",TRUE
3192,64,"Struck by the defense","White","White",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",TRUE,0,"not_state",FALSE
3193,64,"Struck by the defense","White","White",FALSE,TRUE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,0,"not_state",FALSE
